grid,rho0,n_agents,n_runs,total_raw_contact_detections_n,total_raw_contact_detections_mean,total_raw_contact_detections_sd,total_raw_contact_detections_median,total_raw_contact_detections_ci95_low,total_raw_contact_detections_ci95_high,total_raw_contact_detections_iqr,total_raw_contact_detections_min,total_raw_contact_detections_max,total_unique_contact_events_n,total_unique_contact_events_mean,total_unique_contact_events_sd,total_unique_contact_events_median,total_unique_contact_events_ci95_low,total_unique_contact_events_ci95_high,total_unique_contact_events_iqr,total_unique_contact_events_min,total_unique_contact_events_max,peak_active_contacts_n,peak_active_contacts_mean,peak_active_contacts_sd,peak_active_contacts_median,peak_active_contacts_ci95_low,peak_active_contacts_ci95_high,peak_active_contacts_iqr,peak_active_contacts_min,peak_active_contacts_max,peak_max_rho_n,peak_max_rho_mean,peak_max_rho_sd,peak_max_rho_median,peak_max_rho_ci95_low,peak_max_rho_ci95_high,peak_max_rho_iqr,peak_max_rho_min,peak_max_rho_max,peak_max_u_n,peak_max_u_mean,peak_max_u_sd,peak_max_u_median,peak_max_u_ci95_low,peak_max_u_ci95_high,peak_max_u_iqr,peak_max_u_min,peak_max_u_max,minimum_rho_safety_margin_n,minimum_rho_safety_margin_mean,minimum_rho_safety_margin_sd,minimum_rho_safety_margin_median,minimum_rho_safety_margin_ci95_low,minimum_rho_safety_margin_ci95_high,minimum_rho_safety_margin_iqr,minimum_rho_safety_margin_min,minimum_rho_safety_margin_max,minimum_velocity_safety_margin_n,minimum_velocity_safety_margin_mean,minimum_velocity_safety_margin_sd,minimum_velocity_safety_margin_median,minimum_velocity_safety_margin_ci95_low,minimum_velocity_safety_margin_ci95_high,minimum_velocity_safety_margin_iqr,minimum_velocity_safety_margin_min,minimum_velocity_safety_margin_max,first_raw_contact_step_n,first_raw_contact_step_mean,first_raw_contact_step_sd,first_raw_contact_step_median,first_raw_contact_step_ci95_low,first_raw_contact_step_ci95_high,first_raw_contact_step_iqr,first_raw_contact_step_min,first_raw_contact_step_max,first_unique_contact_step_n,first_unique_contact_step_mean,first_unique_contact_step_sd,first_unique_contact_step_median,first_unique_contact_step_ci95_low,first_unique_contact_step_ci95_high,first_unique_contact_step_iqr,first_unique_contact_step_min,first_unique_contact_step_max,mean_agent_speed_over_time_n,mean_agent_speed_over_time_mean,mean_agent_speed_over_time_sd,mean_agent_speed_over_time_median,mean_agent_speed_over_time_ci95_low,mean_agent_speed_over_time_ci95_high,mean_agent_speed_over_time_iqr,mean_agent_speed_over_time_min,mean_agent_speed_over_time_max
100x100x100,1.0,30,100,100,6.23,3.1361528255897455,6.0,5.607719240069919,6.852280759930082,3.25,0.0,16.0,100,5.58,2.2571099783895012,6.0,5.13214041192847,6.02785958807153,3.0,0.0,12.0,100,1.15,0.38599209705627263,1.0,1.0734107937842554,1.2265892062157444,0.0,0.0,2.0,100,1.0143244812688175,0.0013480691699128456,1.0143153332509938,1.0140569950989322,1.0145919674387027,0.001947915166902181,1.010776291565643,1.016796322736398,100,0.04610005146072141,0.0024891138784100017,0.046526053921918595,0.045606157265524395,0.04659394565591842,0.0032149506185118262,0.039134707760692,0.0499629823977269,100,18.985675518731185,0.0013480691699127088,18.98568466674901,18.9854080325613,18.98594300490107,0.001947915166901737,18.983203677263603,18.989223708434356,100,1.0538999485392786,0.00248911387841,1.0534739460780815,1.0534060543440815,1.0543938427344757,0.003214950618511958,1.050037017602273,1.060865292239308,99,15.707070707070708,16.114546936365826,10.0,12.49308098752608,18.921060426615337,14.0,2.0,91.0,99,15.707070707070708,16.114546936365826,10.0,12.49308098752608,18.921060426615337,14.0,2.0,91.0,100,0.2519222345557834,8.010957579435543e-05,0.251928621533163,0.25190633907795584,0.25193813003361093,8.562245168558524e-05,0.2516787263710986,0.2521171294039297
100x100x100,1.0,40,100,100,12.79,6.518497379059694,11.5,11.496588700159812,14.083411299840186,8.0,4.0,36.0,100,10.72,3.890106591461125,11.0,9.948118455774479,11.491881544225523,5.25,4.0,23.0,100,1.51,0.5594911107696914,1.0,1.3989848253748864,1.6210151746251136,1.0,1.0,3.0,100,1.0147580269595877,0.001330789581738853,1.0148544762370824,1.0144939694348796,1.0150220844842959,0.0020787432150191076,1.011418307926896,1.0172595807214062,100,0.046622565167802804,0.0021870905212648503,0.046857097830103,0.04618859895910803,0.047056531376497575,0.003092072138274775,0.0403170255730156,0.0499629823977269,100,18.985241973040416,0.0013307895817388006,18.985145523762917,18.98497791551571,18.985506030565123,0.002078743215015777,18.982740419278592,18.988581692073105,100,1.0533774348321974,0.0021870905212648495,1.0531429021698973,1.0529434686235026,1.053811401040892,0.0030920721382745597,1.050037017602273,1.0596829744269844,100,9.58,9.874137220972061,6.0,7.6207569543856835,11.539243045614317,8.0,1.0,55.0,100,9.58,9.874137220972061,6.0,7.6207569543856835,11.539243045614317,8.0,1.0,55.0,100,0.25189272544157393,7.708700102668998e-05,0.25190168609604313,0.2518774297081555,0.25190802117499234,0.00010719538450948418,0.2516299636289883,0.2520301024011544
100x100x100,1.0,50,100,100,18.75,6.047580700018176,18.0,17.55002878589371,19.94997121410629,8.25,6.0,34.0,100,16.85,4.4024212805356475,17.0,15.97646410671364,17.723535893286364,7.0,6.0,25.0,100,1.91,0.5143398239932958,2.0,1.8079438202356528,2.0120561797643473,0.0,1.0,3.0,100,1.0152780526330398,0.001097701925766821,1.0152398636062794,1.0150602447561503,1.0154958605099293,0.0013153658143871816,1.0132686369684818,1.0210348998411254,100,0.047575463062250384,0.0022308605336267013,0.04775132808429655,0.04713281193350566,0.04801811419099511,0.0023564866802874007,0.0417687085560874,0.0570997001565486,100,18.98472194736696,0.0010977019257669403,18.98476013639372,18.98450413949007,18.98493975524385,0.0013153658143885139,18.978965100158874,18.986731363031517,100,1.0524245369377498,0.002230860533626689,1.0522486719157036,1.051981885809005,1.0528671880664946,0.0023564866802874285,1.0429002998434516,1.0582312914439127,100,6.22,5.9145087827658305,4.0,5.046433141292929,7.393566858707071,5.0,1.0,38.0,100,6.22,5.9145087827658305,4.0,5.046433141292929,7.393566858707071,5.0,1.0,38.0,100,0.2518497144846448,7.191490880789887e-05,0.2518518150823774,0.251835445006532,0.25186398396275766,7.297538410988569e-05,0.2516405337025034,0.2519858298103057
100x100x100,1.0,60,100,100,27.58,9.328115424550521,26.0,25.729099524825212,29.430900475174784,11.25,12.0,60.0,100,24.39,5.962670068302819,25.0,23.20687689737566,25.57312310262434,8.25,12.0,44.0,100,2.34,0.5898125023079689,2.0,2.222968403466292,2.4570315965337075,1.0,1.0,4.0,100,1.0156265037049719,0.0013396752802260915,1.0156611642303166,1.0153606830649073,1.0158923243450364,0.0015138975785862208,1.0129569960325266,1.0223508851714669,100,0.04838677631172085,0.003355596948168342,0.04845108068426665,0.04772095307699612,0.04905259954644558,0.0019553214631415766,0.040038188908166,0.0669441023674259,100,18.984373496295028,0.001339675280226172,18.984338835769684,18.984107675654965,18.98463931693509,0.0015138975785902176,18.977649114828534,18.98704300396747,100,1.0516132236882791,0.0033555969481683526,1.0515489193157332,1.0509474004535544,1.052279046923004,0.0019553214631415905,1.033055897632574,1.059961811091834,100,4.99,3.9581012691144797,4.0,4.204626836572734,5.7753731634272665,5.0,1.0,23.0,100,4.99,3.9581012691144797,4.0,4.204626836572734,5.7753731634272665,5.0,1.0,23.0,100,0.2518231942374303,7.967688293927992e-05,0.25182517792563935,0.25180738461525254,0.2518390038596081,9.182960941422902e-05,0.25157293297120203,0.252016611744708
100x100x100,1.8,30,100,100,4.68,2.5618806223616906,5.0,4.171667304116917,5.188332695883083,3.0,0.0,15.0,100,4.2,1.9745860069872618,4.0,3.808199297257054,4.591800702742947,2.0,0.0,10.0,100,1.08,0.33874396636320286,1.0,1.0127858479694514,1.1472141520305488,0.0,0.0,2.0,100,1.815776421610846,0.002244616629198758,1.8154553473559898,1.815331040974299,1.816221802247393,0.0026221422665808625,1.8112620585376065,1.82252329011054,100,0.038094908913480066,0.007274058641596834,0.0369456550069249,0.03665157786713105,0.03953823995982908,0.00956022926362115,0.0244607083520315,0.058443998960178,100,18.184223578389155,0.0022446166291986104,18.18454465264401,18.18377819775261,18.1846689590257,0.0026221422665813066,18.17747670988946,18.188737941462392,100,1.06190509108652,0.007274058641596823,1.0630543449930752,1.060461760040171,1.063348422132869,0.009560229263621212,1.0415560010398222,1.0755392916479687,98,20.091836734693878,19.16778156699084,14.0,16.24893962286615,23.934733846521606,18.5,2.0,97.0,98,20.091836734693878,19.16778156699084,14.0,16.24893962286615,23.934733846521606,18.5,2.0,97.0,100,0.18793518907848444,3.4448308320777004e-05,0.18793944141834082,0.1879283537867521,0.1879420243702168,4.259901857758819e-05,0.18781560637315947,0.18800611057681116
100x100x100,1.8,40,100,100,9.64,4.321709351306693,9.0,8.782479104530772,10.49752089546923,7.0,3.0,22.0,100,8.35,3.179400235671165,8.0,7.719138015650342,8.980861984349657,4.25,3.0,16.0,100,1.35,0.519809599951771,1.0,1.2468584980178343,1.4531415019821659,1.0,1.0,3.0,100,1.8164260691203447,0.0019876568709250877,1.816038551349602,1.816031674874622,1.8168204633660674,0.0022210307775598626,1.8123667458736952,1.82252329011054,100,0.04001865833840757,0.006517034391276767,0.03906266743864255,0.03872553732708327,0.041311779349731875,0.008318675690472281,0.0273046381580432,0.058443998960178,100,18.183573930879657,0.001987656870924952,18.183961448650397,18.183179536633933,18.18396832512538,0.002221030777562305,18.17747670988946,18.187633254126304,100,1.0599813416615926,0.006517034391276755,1.0609373325613576,1.0586882206502684,1.061274462672917,0.008318675690472288,1.0415560010398222,1.0726953618419568,100,13.21,13.738756652020385,8.0,10.483932615734052,15.93606738426595,10.0,1.0,74.0,100,13.21,13.738756652020385,8.0,10.483932615734052,15.93606738426595,10.0,1.0,74.0,100,0.18792059556857807,3.4044866694826646e-05,0.18792803915822043,0.18791384032841704,0.1879273508087391,4.941537549232877e-05,0.18782402968628614,0.18800003023044914
100x100x100,1.8,50,100,100,14.03,4.831410275739916,14.0,13.071343383080805,14.988656616919194,7.25,4.0,27.0,100,12.74,3.888911976843442,13.0,11.96835549323198,13.51164450676802,6.0,4.0,21.0,100,1.62,0.5993262210114948,2.0,1.5010806752738766,1.7389193247261236,1.0,1.0,3.0,100,1.8169989301069704,0.001995134221548927,1.8164655871375217,1.8166030521926617,1.8173948080212792,0.0032392976172499477,1.813492346105648,1.822367005643826,100,0.04165752886005986,0.006897745541386351,0.0413756886532598,0.04028886649696502,0.04302619122315471,0.009273775520022468,0.0268489059326769,0.0571173873655283,100,18.18300106989303,0.001995134221548976,18.18353441286248,18.182605191978723,18.18339694780734,0.0032392976172488375,18.177632994356173,18.186507653894353,100,1.0583424711399403,0.006897745541386342,1.0586243113467404,1.0569738087768454,1.0597111335030351,0.00927377552002251,1.0428826126344717,1.0731510940673232,100,8.27,7.873821861527648,5.5,6.707662918858512,9.832337081141487,7.0,1.0,51.0,100,8.27,7.873821861527648,5.5,6.707662918858512,9.832337081141487,7.0,1.0,51.0,100,0.1879053344657783,3.408813204861197e-05,0.18790880476923516,0.18789857064083243,0.1879120982907242,3.960867330377038e-05,0.18781413455793058,0.18799981221865017
100x100x100,1.8,60,100,100,20.32,6.755289734270426,19.0,18.979603959638293,21.660396040361707,10.0,8.0,41.0,100,18.37,5.120083253742318,19.0,17.354064401439075,19.385935598560927,7.25,8.0,32.0,100,1.92,0.5628211765451587,2.0,1.8083240680787283,2.0316759319212716,0.0,1.0,3.0,100,1.817759853615491,0.0018667951314051531,1.8176702415110033,1.8173894409610039,1.8181302662699783,0.0030225082983055263,1.81395885273972,1.822367005643826,100,0.043864757253764486,0.00632892207228683,0.0437974306887678,0.04260896180765439,0.04512055269987458,0.009271566666496846,0.0280875385683339,0.0571173873655283,100,18.18224014638451,0.0018667951314050607,18.182329758488997,18.18186973373002,18.182610559038995,0.0030225082983079687,18.177632994356173,18.18604114726028,100,1.0561352427462356,0.006328922072286831,1.0562025693112322,1.0548794473001255,1.0573910381923457,0.009271566666496645,1.0428826126344717,1.0719124614316662,100,6.78,5.3173624509096085,5.0,5.724919928717606,7.835080071282395,6.0,1.0,31.0,100,6.78,5.3173624509096085,5.0,5.724919928717606,7.835080071282395,6.0,1.0,31.0,100,0.1878924040489214,3.7365099374956024e-05,0.18789457544243354,0.18788499000256365,0.18789981809527917,5.197896519637535e-05,0.18777034598140493,0.1879712580872144
100x100x100,2.93,30,100,100,3.56,1.9453129373554334,4.0,3.1740077093558985,3.9459922906441016,2.25,0.0,10.0,100,3.32,1.7108093660220258,3.0,2.9805383055006285,3.659461694499371,2.0,0.0,8.0,100,1.03,0.361114996094098,1.0,0.9583469503278028,1.1016530496721972,0.0,0.0,2.0,100,2.9628728477977635,0.003941717029732218,2.9623428218700685,2.9620907256228883,2.9636549699726387,0.0047216768596509695,2.95442506156418,2.9740493888503337,100,0.04879493610973507,0.007299589791415162,0.047658586368320405,0.04734653912935976,0.050243333090110386,0.00956022926362115,0.0338832231993744,0.0691569303215736,100,17.03712715220224,0.003941717029732197,17.037657178129933,17.036345030027363,17.037909274377114,0.004721676859656299,17.025950611149668,17.04557493843582,100,1.051205063890265,0.007299589791415173,1.0523414136316798,1.0497566669098897,1.0526534608706404,0.009560229263621212,1.0308430696784265,1.0661167768006257,95,23.294736842105262,19.304874086453943,18.0,19.362133086968914,27.22734059724161,21.0,3.0,87.0,95,23.294736842105262,19.304874086453943,18.0,19.362133086968914,27.22734059724161,21.0,3.0,87.0,100,0.14698569263442818,7.349771001734123e-05,0.14699034497820446,0.14697110909421626,0.1470002761746401,0.00011035576031678818,0.14682368877908825,0.1471916360430422
100x100x100,2.93,40,100,100,7.39,3.3631845178357516,7.0,6.722671226839731,8.057328773160268,5.25,1.0,15.0,100,6.71,2.9208238771298967,6.0,6.13044517504005,7.28955482495995,5.0,1.0,14.0,100,1.2,0.4020151261036849,1.0,1.1202314771990918,1.2797685228009081,0.0,1.0,2.0,100,2.963968097310419,0.003556069472856259,2.9636524141394194,2.963262495977513,2.9646736986433253,0.003951723057541656,2.956176218926956,2.9740493888503337,100,0.050731589699803105,0.006517034391276768,0.049775598800038096,0.0494384686884788,0.05202471071112741,0.008318675690472198,0.0380175695194387,0.0691569303215736,100,17.03603190268958,0.0035560694728563116,17.036347585860582,17.035326301356672,17.036737504022486,0.0039517230575434326,17.025950611149668,17.043823781073044,100,1.049268410300197,0.0065170343912767685,1.050224401199962,1.0479752892888727,1.0505615313115213,0.008318675690472066,1.0308430696784265,1.0619824304805614,100,17.35,17.431757272752556,10.5,13.891161172346457,20.808838827653545,12.5,2.0,94.0,100,17.35,17.431757272752556,10.5,13.891161172346457,20.808838827653545,12.5,2.0,94.0,100,0.1469843935053343,7.290861095320343e-05,0.14698301117263146,0.1469699268551573,0.14699886015551128,0.0001003518989168839,0.14675788299776485,0.14716447026329138
100x100x100,2.93,50,100,100,10.91,3.717539644724856,11.0,10.17235948187424,11.64764051812576,4.25,3.0,22.0,100,10.02,3.3180863415072506,10.0,9.361619683435395,10.678380316564605,4.0,2.0,19.0,100,1.49,0.5411361037930132,1.0,1.3826268569738476,1.5973731430261524,1.0,1.0,3.0,100,2.96490994342175,0.0036339442382247555,2.964354063443364,2.9641888900458895,2.9656309967976107,0.005563335505825329,2.955629460082021,2.9739181703213244,100,0.052369587409292685,0.006899643551684035,0.052088620014655404,0.051000548439777145,0.053738626378808226,0.009273775520022474,0.0374745560778018,0.0678303187269238,100,17.035090056578248,0.0036339442382247026,17.035645936556634,17.03436900320239,17.035811109954107,0.005563335505826217,17.026081829678674,17.044370539917978,100,1.0476304125907074,0.006899643551684044,1.0479113799853446,1.0462613736211919,1.048999451560223,0.009273775520022287,1.0321696812730763,1.0625254439221983,100,11.03,10.031722411702516,8.0,9.039488633709048,13.02051136629095,8.25,2.0,65.0,100,11.03,10.031722411702516,8.0,9.039488633709048,13.02051136629095,8.25,2.0,65.0,100,0.1469812587917369,6.259090151003558e-05,0.14698545340783611,0.14696883939895777,0.14699367818451603,8.450853107588863e-05,0.14681082025085224,0.1471314598590691
100x100x100,2.93,60,100,100,16.0,5.0950560310555915,16.0,14.989030345389688,17.01096965461031,7.25,7.0,30.0,100,14.85,4.4207385460949045,15.0,13.9728295638307,15.727170436169299,7.0,7.0,25.0,100,1.78,0.5427204202399746,2.0,1.672312494218774,1.8876875057812261,1.0,1.0,3.0,100,2.966096883333197,0.003374903809104017,2.96604819492235,2.965427229198397,2.966766537467997,0.004979511722518648,2.9572503301123603,2.9739181703213244,100,0.05455086424771197,0.006345744478247896,0.05451036205016335,0.053291730871294435,0.05580999762412951,0.009791459766282103,0.0388004699297294,0.0678303187269238,100,17.033903116666803,0.0033749038091041603,17.03395180507765,17.033233462532003,17.034572770801603,0.004979511722517316,17.026081829678674,17.04274966988764,100,1.0454491357522882,0.006345744478247908,1.0454896379498368,1.0441900023758706,1.0467082691287057,0.00979145976628204,1.0321696812730763,1.0611995300702708,100,8.79,6.273714605359009,7.0,7.545158913063135,10.034841086936863,8.0,2.0,40.0,100,8.79,6.273714605359009,7.0,7.545158913063135,10.034841086936863,8.0,2.0,40.0,100,0.14696875606108178,6.44106779904184e-05,0.14697917082241027,0.1469559755851686,0.14698153653699497,7.282725176979699e-05,0.14676550163550015,0.14710126932303777
100x100x100,4.55,30,100,100,2.89,1.7860005542546675,3.0,2.535618742470515,3.244381257529485,2.25,0.0,7.0,100,2.59,1.53803626600791,2.5,2.2848202368832427,2.895179763116757,2.25,0.0,7.0,100,0.96,0.373895680368174,1.0,0.8858109852888532,1.0341890147111468,0.0,0.0,2.0,100,4.724629238861911,0.8228758341270223,4.607385641695634,4.561352820949346,4.887905656774476,0.007017958207174324,4.595279921298906,10.514853454567287,100,0.07359500021094718,0.1332225779954498,0.0537344217956917,0.047160750451685676,0.10002924997020869,0.00956022926362108,0.0399590586267457,1.0,100,15.275370761138088,0.8228758341270223,15.392614358304366,15.112094343225523,15.438647179050653,0.007017958207175212,9.485146545432713,15.404720078701093,100,1.026404999789053,0.13322257799544981,1.0462655782043084,0.9999707500297914,1.0528392495483145,0.009560229263621212,0.10000000000000009,1.0600409413732543,91,27.593406593406595,20.112449445818942,24.0,23.40478626982102,31.78202691699217,29.0,4.0,94.0,91,27.593406593406595,20.112449445818942,24.0,23.40478626982102,31.78202691699217,29.0,4.0,94.0,100,0.1184011684583873,0.004043973111772596,0.11781200870964907,0.11759875645837342,0.11920358045840118,0.00015571092790335472,0.1176419603598768,0.1467188321347918
100x100x100,4.55,40,100,100,6.57,3.269865471547752,6.0,5.921187750194784,7.218812249805216,5.0,1.0,15.0,100,5.83,2.6592890369078317,6.0,5.302339361379956,6.357660638620044,4.0,1.0,13.0,100,1.22,0.43992653197477594,1.0,1.1327090317803026,1.3072909682196974,0.0,1.0,3.0,100,4.697917630048602,0.6421441777102679,4.609195737084387,4.570502293771079,4.825332966326125,0.005853638740820344,4.597105467276186,10.14624494477819,100,0.07373734412390238,0.12031821354125548,0.05585143422740935,0.049863600234587024,0.09761108801321774,0.008318675690472281,0.04409340494681,0.9140360106747392,100,15.302082369951398,0.6421441777102679,15.390804262915614,15.174667033673874,15.429497706228922,0.00585363874082212,9.85375505522181,15.402894532723813,100,1.0262626558760977,0.12031821354125549,1.0441485657725909,1.0023889119867824,1.050136399765413,0.008318675690472288,0.18596398932526093,1.05590659505319,100,18.9,15.693722607875078,13.0,15.786024956795925,22.01397504320407,20.25,3.0,81.0,100,18.9,15.693722607875078,13.0,15.786024956795925,22.01397504320407,20.25,3.0,81.0,100,0.11823366364141247,0.0030467045350158727,0.11779599698507046,0.1176291313629271,0.11883819591989783,0.00010804408685104183,0.1176351583776884,0.13945175838590965
